"quote";"author";"context";"source";"date"
"Folgada como luva de maquinista que qualquer um mete a mão.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Folgada como peido em bombacha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Folgada como cama de viúva.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais por fora que surdo em bingo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais por fora que cabelo de côco.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mas por fora que cotovelo de caminhoneiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais forte que peido de burro atolado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Frio de empedrar água do poço.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Ganiçando como cusco que levou água fervendo pelo lombo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais gasto que fundilho de tropeiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Gordo e lustroso como gato de bolicheiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais gostoso que beijo de prima.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais grosso que dedo destroncado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais grosso que parafuso de patrola.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais grosso que papel de enrolar prego.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais grosso que mandioca de dois anos.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais grosso que rolha de poço.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais grudado que bosta em tamanco de leiteiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais inchado que sapo bulido.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais informado que gerente de funerária.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Alma inquieta como galho de sarandi tocado pelo vento.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais intrometida que piolho na costura.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Judiado como filhote de passarinho em mão de piá.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"De alma leve como um passarinho.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais ligeiro que enterro de bexiguento.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Louco como galinha agarrada pelo rabo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais magro que guri com solitária.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais magro que assobio de papudo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Maldoso como petiço de guri.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais medroso que velha em canoa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais medroso que cascudo atravessando galinheiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais metido que merda em chinelo de dedo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais metido que dedo em nariz de piá.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Nervoso como potro com mosca no ouvido.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Nervoso como gato em dia de faxina.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais nojento que mocotó de ontem.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Perfumado como mão de barbeiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Pior que jacaré sem lagoa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Pior que cusco que caiu do caminhão da mudança.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Quente como frigideira sem cabo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Rebola mais que minhoca nas cinzas.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Rebola mais que lesma com sal por cima.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Sabido como sorro velho.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Seca como tiro de 12 cano-serrado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Sério que nem defunto.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais sério que guri cagado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Sério como guri que examina galinha para ver se tem ovo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Sincero como vaca pro touro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Sofrendo como joelho de freira na Semana Santa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Solita como galinha em gaiola de engorde.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais sujo que pau de galinheiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Sutil como gato que vai pegar passarinho.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Tradicional como embalagem de maizena.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Tradicional como fórmula de minâncora.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Tranqüilo que nem cozinheiro de hospício.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Tranqüilo como água de poço.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais vagaroso que tropeiro de lesma.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais à vontade que bugio em mato de boa fruta.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais virado que bolacha em boca de velha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Vivo como cavalo de contrabandista.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais velho que andar em pé.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais freqüente que pereba em piá.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais aglomerado que mosca em bicheira.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais enrolado que lingüiça de venda.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais complicado que receita de creme Assis Brasil.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que bombacha de gringo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais caro que argentina nova na zona.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais nojento que mocotó de ontem.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais ciumenta que mulher de tenente.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais inútil que mijar em incêndio.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais indeciso que cavalo xucro prá cruzar sanga.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais prestimosa que mãe de noiva.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais usado que pronome oblíquo em conversa de professor.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais cagado que cascudo atravessando galinheiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais engraçado que gorda botando as calça.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais vaidoso que guri em chineiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais esperto que gringo de venda.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Pisando mais firme que delegado novo em chineiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comentada que vida de manicure.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Rebolando mais que china de delegado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mentindo mais que guri para entrar em baile.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Tão baixo que fica na ponta dos pé para mijar em penico.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais bisbilhoteiro que filho de empregada.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais escondido que bragueta de gordo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais variado que baldeação em Cacequi.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais duro que ferrar cavalo de estátua.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais seco que penico de cego.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais apertado que calça de fresco.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
